match_id,date,season,team,opponent,won_match,win_pct_before,prev_season_win_pct,won_toss,toss_winner_at_home,batting_first,is_home
419148,10/04/2010,2010,Kolkata Knight Riders,Royal Challengers Bangalore,0,0.5,0.461538462,0,1,1,0
419148,10/04/2010,2010,Royal Challengers Bangalore,Kolkata Knight Riders,1,0.5,0.285714286,1,1,0,1
419149,11/04/2010,2010,Delhi Daredevils,Kings XI Punjab,0,0.6,0.5,1,1,1,1
419149,11/04/2010,2010,Kings XI Punjab,Delhi Daredevils,1,0.2,0.666666667,0,1,0,0
419150,11/04/2010,2010,Mumbai Indians,Rajasthan Royals,1,0.7,0.5,0,1,1,0
419150,11/04/2010,2010,Rajasthan Royals,Mumbai Indians,0,0.545454545,0.8125,1,1,0,1
419151,12/04/2010,2010,Deccan Chargers,Royal Challengers Bangalore,1,0.454545455,0.142857143,0,0,1,0
419151,12/04/2010,2010,Royal Challengers Bangalore,Deccan Chargers,0,0.545454545,0.285714286,1,0,0,0
419152,13/04/2010,2010,Delhi Daredevils,Mumbai Indians,0,0.545454545,0.5,0,1,0,0
419152,13/04/2010,2010,Mumbai Indians,Delhi Daredevils,1,0.727272727,0.5,1,1,1,1
419153,13/04/2010,2010,Chennai Super Kings,Kolkata Knight Riders,1,0.5,0.5625,0,0,0,1
419153,13/04/2010,2010,Kolkata Knight Riders,Chennai Super Kings,0,0.454545455,0.461538462,1,0,1,0
419154,14/04/2010,2010,Rajasthan Royals,Royal Challengers Bangalore,0,0.5,0.8125,1,1,1,1
419154,14/04/2010,2010,Royal Challengers Bangalore,Rajasthan Royals,1,0.5,0.285714286,0,1,0,0
419155,15/04/2010,2010,Chennai Super Kings,Delhi Daredevils,0,0.545454545,0.5625,1,1,1,1
419155,15/04/2010,2010,Delhi Daredevils,Chennai Super Kings,1,0.5,0.5,0,1,0,0
419156,16/04/2010,2010,Deccan Chargers,Kings XI Punjab,1,0.5,0.142857143,1,0,0,0
419156,16/04/2010,2010,Kings XI Punjab,Deccan Chargers,0,0.272727273,0.666666667,0,0,1,1
419157,17/04/2010,2010,Mumbai Indians,Royal Challengers Bangalore,1,0.75,0.5,0,1,1,0
419157,17/04/2010,2010,Royal Challengers Bangalore,Mumbai Indians,0,0.538461538,0.285714286,1,1,0,1
419158,17/04/2010,2010,Kolkata Knight Riders,Rajasthan Royals,1,0.416666667,0.461538462,0,0,0,1
419158,17/04/2010,2010,Rajasthan Royals,Kolkata Knight Riders,0,0.461538462,0.8125,1,0,1,0
419159,18/04/2010,2010,Chennai Super Kings,Kings XI Punjab,1,0.5,0.5625,1,0,0,0
419159,18/04/2010,2010,Kings XI Punjab,Chennai Super Kings,0,0.25,0.666666667,0,0,1,1
419160,18/04/2010,2010,Deccan Chargers,Delhi Daredevils,1,0.538461538,0.142857143,1,0,1,0
419160,18/04/2010,2010,Delhi Daredevils,Deccan Chargers,0,0.538461538,0.5,0,0,0,1
419161,19/04/2010,2010,Kolkata Knight Riders,Mumbai Indians,1,0.461538462,0.461538462,0,0,0,1
419161,19/04/2010,2010,Mumbai Indians,Kolkata Knight Riders,0,0.769230769,0.5,1,0,1,0
419162,21/04/2010,2010,Mumbai Indians,Royal Challengers Bangalore,1,0.714285714,0.5,1,0,1,0
419162,21/04/2010,2010,Royal Challengers Bangalore,Mumbai Indians,0,0.5,0.285714286,0,0,0,0
419163,22/04/2010,2010,Chennai Super Kings,Deccan Chargers,1,0.538461538,0.5625,1,0,1,0
419163,22/04/2010,2010,Deccan Chargers,Chennai Super Kings,0,0.571428571,0.142857143,0,0,0,0
419164,24/04/2010,2010,Deccan Chargers,Royal Challengers Bangalore,0,0.533333333,0.142857143,1,0,1,0
419164,24/04/2010,2010,Royal Challengers Bangalore,Deccan Chargers,1,0.466666667,0.285714286,0,0,0,0
419165,25/04/2010,2010,Chennai Super Kings,Mumbai Indians,1,0.571428571,0.5625,1,0,1,0
419165,25/04/2010,2010,Mumbai Indians,Chennai Super Kings,0,0.733333333,0.5,0,0,0,0
