match_id,date,season,team,opponent,won_match,matches_before,wins_before,win_pct_before,home_win_pct_before,away_win_pct_before,prev_season_win_pct,prev_home_win_pct,prev_away_win_pct,prev_bat_first_win_pct,last_3_wins,won_toss,toss_winner_at_home,batting_first,is_home
548381,27/05/2012,2012,Chennai Super Kings,Kolkata Knight Riders,0,17,10,0.588235294,0.666666667,0.5,0,0,0,0,2,1,1,1,1
548381,27/05/2012,2012,Kolkata Knight Riders,Chennai Super Kings,1,16,11,0.6875,0.428571429,0.888888889,0,0,0,0,3,0,1,0,0
597998,3/04/2013,2013,Delhi Daredevils,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
597998,3/04/2013,2013,Kolkata Knight Riders,Delhi Daredevils,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
597999,4/04/2013,2013,Mumbai Indians,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
597999,4/04/2013,2013,Royal Challengers Bangalore,Mumbai Indians,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
598000,5/04/2013,2013,Pune Warriors,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
598000,5/04/2013,2013,Sunrisers Hyderabad,Pune Warriors,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
598001,6/04/2013,2013,Delhi Daredevils,Rajasthan Royals,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
598001,6/04/2013,2013,Rajasthan Royals,Delhi Daredevils,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
598002,6/04/2013,2013,Chennai Super Kings,Mumbai Indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
598002,6/04/2013,2013,Mumbai Indians,Chennai Super Kings,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
598003,7/04/2013,2013,Kings XI Punjab,Pune Warriors,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598003,7/04/2013,2013,Pune Warriors,Kings XI Punjab,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
598005,8/04/2013,2013,Kolkata Knight Riders,Rajasthan Royals,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
598005,8/04/2013,2013,Rajasthan Royals,Kolkata Knight Riders,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1
598006,9/04/2013,2013,Delhi Daredevils,Mumbai Indians,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
