term,estimate,std.error,statistic,p.value
(Intercept),0.36183221743690397,0.11369930124304636,3.1823609598395217,0.0015063503794121708
matches_before,0.003081090542212856,0.01333311087341889,0.23108564621294564,0.8172960626613169
wins_before,-0.006399561075670642,0.023446564178570613,-0.2729423819597257,0.7849544871996061
win_pct_before,0.0144807953382343,0.2692855089285637,0.05377487780850391,0.9571253852663788
home_win_pct_before,0.10496283499740151,0.0923494528714782,1.1365831819651084,0.25598789104437725
away_win_pct_before,0.14522300384541478,0.11663450407209669,1.2451118560563035,0.2133855688352289
prev_season_win_pct,-0.0555832125131127,0.3285639085766953,-0.16917017074058255,0.8656973851492504
prev_home_win_pct,0.02158242053950064,0.12838077309225698,0.16811256093613863,0.8665290989834845
prev_away_win_pct,0.07401968678703025,0.20840451927312292,0.35517313657687205,0.7225356180109941
prev_bat_first_win_pct,0.05919995812117103,0.12466174875724574,0.4748847077097508,0.63497399837976
last_3_wins,-0.030269527821936697,0.024947038050116475,-1.2133515714822656,0.22528513501852573
is_home,0.11851918966760672,0.03342462974495799,3.545863950384821,4.0966374617173e-4
won_toss,0.02525955537144717,0.032395721331852874,0.7797188743752677,0.43574291432735324
toss_winner_at_home,-0.027681190574258017,0.03262705395593227,-0.8484121984058266,0.3964137422171018
batting_first,-0.059081605472130455,0.03252146665923863,-1.8166956026673133,0.06956632581168443
