variable,matches_before,wins_before,win_pct_before,home_win_pct_before,away_win_pct_before,prev_season_win_pct,prev_home_win_pct,prev_away_win_pct,prev_bat_first_win_pct,last_3_wins,won_toss,toss_winner_at_home,batting_first,is_home
matches_before,1,0.8040958563341625,0.09965560573366175,0.1330884788424194,0.06616734017368574,0.03358589351918551,-0.0078085596357189025,0.057761445080083934,0.02913913736144818,0.04429141529018418,0.016478499894210272,-0.05590539229533869,-0.011106423116138395,-0.10565184445093802
wins_before,0.8040958563341625,1,0.6115292017046193,0.4660687108061426,0.40691670030500093,0.06967452303385263,0.03224327103818796,0.08300651971310655,0.024071977243199615,0.3996111807068511,0.026808607439760535,-0.023374506910646378,-0.016543835211616707,-0.11257407574867573
win_pct_before,0.09965560573366175,0.6115292017046193,1,0.6739956586245168,0.6566849781468022,0.040044041376026115,0.033370618356985474,0.03826103174203458,-0.030013306253805574,0.6859402361836078,0.027506446420772115,0.02599231155470801,-0.009298909108022937,-0.052555333369671366
home_win_pct_before,0.1330884788424194,0.4660687108061426,0.6739956586245168,1,0.05120659066110529,0.10725462001490388,0.03748943478718822,0.17533243453656855,0.043189701574555664,0.4299129500379364,0.06467158075992836,0.0796153255199166,0.011889161063186954,0.07143724989350761
away_win_pct_before,0.06616734017368574,0.40691670030500093,0.6566849781468022,0.05120659066110529,1,-0.027468369175629347,0.040623895549358253,-0.11125892354332875,-0.05855151148478211,0.486683966629364,-0.0023740182093773014,-0.018057070662458038,-0.032769831696356194,-0.05822842629906856
prev_season_win_pct,0.03358589351918551,0.06967452303385263,0.040044041376026115,0.10725462001490388,-0.027468369175629347,1,0.8171293251931708,0.8673417312554768,0.8541832753717206,0.07098321428709584,0.009439116791310046,0.05328387291622781,0.044010419557957016,0.096856847300166
prev_home_win_pct,-0.0078085596357189025,0.03224327103818796,0.033370618356985474,0.03748943478718822,0.040623895549358253,0.8171293251931708,1,0.49526644321071467,0.726581436614843,0.0632982224819224,0.019379026980211354,0.049246081542189866,0.020996994210641075,0.12074151905825829
prev_away_win_pct,0.057761445080083934,0.08300651971310655,0.03826103174203458,0.17533243453656855,-0.11125892354332875,0.8673417312554768,0.49526644321071467,1,0.7285937188911239,0.0595868615584156,0.01925143381749788,0.053953521498398035,0.04240504317452582,0.06164807290683987
prev_bat_first_win_pct,0.02913913736144818,0.024071977243199615,-0.030013306253805574,0.043189701574555664,-0.05855151148478211,0.8541832753717206,0.726581436614843,0.7285937188911239,1,0.04120651712022262,0.006649756474631342,0.028854944305669476,0.0625216761765315,0.08951830624876174
last_3_wins,0.04429141529018418,0.3996111807068511,0.6859402361836078,0.4299129500379364,0.486683966629364,0.07098321428709584,0.0632982224819224,0.0595868615584156,0.04120651712022262,1,0.009338155931796452,0.03499625713623975,0.02616513385878469,0.013036998844081476
won_toss,0.016478499894210272,0.026808607439760535,0.027506446420772115,0.06467158075992836,-0.0023740182093773014,0.009439116791310046,0.019379026980211354,0.01925143381749788,0.006649756474631342,0.009338155931796452,1,0.004407073529587274,-0.22907551930715797,-0.0277495517525283
toss_winner_at_home,-0.05590539229533869,-0.023374506910646378,0.02599231155470801,0.0796153255199166,-0.018057070662458038,0.05328387291622781,0.049246081542189866,0.053953521498398035,0.028854944305669476,0.03499625713623975,0.004407073529587274,1,4.2608558790137416e-4,0.1436175712731109
batting_first,-0.011106423116138395,-0.016543835211616707,-0.009298909108022937,0.011889161063186954,-0.032769831696356194,0.044010419557957016,0.020996994210641075,0.04240504317452582,0.0625216761765315,0.02616513385878469,-0.22907551930715797,4.2608558790137416e-4,1,0.09751568369359793
is_home,-0.10565184445093802,-0.11257407574867573,-0.052555333369671366,0.07143724989350761,-0.05822842629906856,0.096856847300166,0.12074151905825829,0.06164807290683987,0.08951830624876174,0.013036998844081476,-0.0277495517525283,0.1436175712731109,0.09751568369359793,1
